,learning_rate,test_accuracy
0,1,0.9333333333333333
1,2,0.9333333333333333
2,3,0.9333333333333333
3,4,0.9333333333333333
4,5,0.9333333333333333
5,6,0.9333333333333333
6,7,0.9333333333333333
7,8,0.9333333333333333
8,9,0.9333333333333333
9,10,0.9333333333333333
10,11,0.9333333333333333
11,12,0.9333333333333333
12,13,0.9333333333333333
13,14,0.9333333333333333
14,15,0.9333333333333333
15,16,0.9333333333333333
16,17,0.9333333333333333
17,18,0.9333333333333333
18,19,0.9333333333333333
19,20,0.9333333333333333
20,21,0.9333333333333333
21,22,0.9333333333333333
22,23,0.9333333333333333
23,24,0.9333333333333333
24,25,0.9333333333333333
25,26,0.9333333333333333
26,27,0.9333333333333333
27,28,0.9333333333333333
28,29,0.9333333333333333
29,30,0.9333333333333333
30,31,0.9333333333333333
31,32,0.9333333333333333
32,33,0.9333333333333333
33,34,0.9333333333333333
34,35,0.9333333333333333
35,36,0.9333333333333333
36,37,0.9333333333333333
37,38,0.9333333333333333
38,39,0.4666666666666667
39,40,0.4666666666666667
40,41,0.4666666666666667
41,42,0.4666666666666667
42,43,0.4666666666666667
43,44,0.4666666666666667
44,45,0.4666666666666667
45,46,0.4666666666666667
46,47,0.4666666666666667
47,48,0.4666666666666667
48,49,0.4666666666666667
49,50,0.4666666666666667
50,51,0.4666666666666667
51,52,0.4666666666666667
52,53,0.4666666666666667
53,54,0.4666666666666667
54,55,0.4666666666666667
55,56,0.4666666666666667
56,57,0.4666666666666667
57,58,0.4666666666666667
58,59,0.4666666666666667
59,60,0.4666666666666667
60,61,0.4666666666666667
61,62,0.4666666666666667
62,63,0.4666666666666667
63,64,0.9333333333333333
64,65,0.9333333333333333
65,66,0.9333333333333333
66,67,0.9333333333333333
67,68,0.9333333333333333
68,69,0.9333333333333333
69,70,0.9333333333333333
70,71,0.9333333333333333
71,72,0.9333333333333333
72,73,0.9333333333333333
73,74,0.9333333333333333
74,75,0.9333333333333333
75,76,0.9333333333333333
76,77,0.9333333333333333
77,78,0.9333333333333333
78,79,0.9333333333333333
79,80,0.9333333333333333
80,81,0.9333333333333333
81,82,0.9333333333333333
82,83,0.9333333333333333
83,84,0.9333333333333333
84,85,0.9333333333333333
85,86,0.9333333333333333
86,87,0.9333333333333333
87,88,0.9333333333333333
88,89,0.9333333333333333
89,90,0.9333333333333333
90,91,0.9333333333333333
91,92,0.9333333333333333
92,93,0.9333333333333333
93,94,0.9333333333333333
94,95,0.9333333333333333
95,96,0.9333333333333333
96,97,0.9333333333333333
97,98,0.9333333333333333
98,99,0.9333333333333333
99,100,0.9333333333333333
100,101,0.9333333333333333
101,102,0.9333333333333333
102,103,0.9333333333333333
103,104,0.9333333333333333
104,105,0.9333333333333333
105,106,0.9333333333333333
106,107,0.9333333333333333
107,108,0.9333333333333333
108,109,0.9333333333333333
109,110,0.9333333333333333
110,111,0.9333333333333333
111,112,0.9333333333333333
112,113,0.9333333333333333
113,114,0.9666666666666667
114,115,0.9666666666666667
115,116,0.9666666666666667
116,117,0.9666666666666667
117,118,0.9333333333333333
118,119,0.9333333333333333
119,120,0.9333333333333333
120,121,0.9333333333333333
121,122,0.9333333333333333
122,123,0.9333333333333333
123,124,0.9333333333333333
124,125,0.9333333333333333
125,126,0.9333333333333333
126,127,0.9333333333333333
127,128,0.9333333333333333
128,129,0.9333333333333333
129,130,0.9333333333333333
130,131,0.9333333333333333
131,132,0.9333333333333333
132,133,0.9333333333333333
133,134,0.9333333333333333
134,135,0.9333333333333333
135,136,0.9333333333333333
136,137,0.9333333333333333
137,138,0.9333333333333333
138,139,0.9333333333333333
139,140,0.9333333333333333
140,141,0.9333333333333333
141,142,0.9333333333333333
142,143,0.9333333333333333
143,144,0.9333333333333333
144,145,0.9333333333333333
145,146,0.9333333333333333
146,147,0.9333333333333333
147,148,0.9333333333333333
148,149,0.9333333333333333
149,150,0.9333333333333333
150,151,0.9333333333333333
151,152,0.9333333333333333
152,153,0.9333333333333333
153,154,0.9333333333333333
154,155,0.9333333333333333
155,156,0.9333333333333333
156,157,0.9333333333333333
157,158,0.9333333333333333
158,159,0.9333333333333333
159,160,0.9333333333333333
160,161,0.9333333333333333
161,162,0.9333333333333333
162,163,0.9333333333333333
163,164,0.9333333333333333
164,165,0.9333333333333333
165,166,0.9333333333333333
166,167,0.9333333333333333
167,168,0.9333333333333333
168,169,0.9333333333333333
169,170,0.9333333333333333
170,171,0.9333333333333333
171,172,0.9333333333333333
172,173,0.9333333333333333
173,174,0.9333333333333333
174,175,0.9333333333333333
175,176,0.9333333333333333
176,177,0.9333333333333333
177,178,0.9333333333333333
178,179,0.9333333333333333
179,180,0.9333333333333333
180,181,0.9333333333333333
181,182,0.9333333333333333
182,183,0.9333333333333333
183,184,0.9333333333333333
184,185,0.9333333333333333
185,186,0.9333333333333333
186,187,0.9333333333333333
187,188,0.9333333333333333
188,189,0.9333333333333333
189,190,0.9333333333333333
190,191,0.8666666666666667
191,192,0.9333333333333333
192,193,0.8666666666666667
193,194,0.8666666666666667
194,195,0.9333333333333333
195,196,0.9333333333333333
196,197,0.9333333333333333
197,198,0.9333333333333333
198,199,0.9333333333333333
199,200,0.9333333333333333
200,201,0.9333333333333333
201,202,0.9333333333333333
202,203,0.9333333333333333
203,204,0.9333333333333333
204,205,0.9333333333333333
205,206,0.9333333333333333
206,207,0.9333333333333333
207,208,0.9333333333333333
208,209,0.9333333333333333
209,210,0.9333333333333333
210,211,0.9666666666666667
211,212,0.9333333333333333
212,213,0.9333333333333333
213,214,0.9
