,learning_rate,momentum,test_accuracy
932,0.94,0.3,0.5257
933,0.94,0.4,0.4553
934,0.94,0.5,0.5418
935,0.94,0.6,0.4539
936,0.94,0.7,0.4503
937,0.94,0.8,0.3611
938,0.94,0.9,0.3568
939,0.94,1.0,0.3024
940,0.95,0.1,0.547
941,0.95,0.2,0.6226
942,0.95,0.3,0.4509
943,0.95,0.4,0.5402
944,0.95,0.5,0.4568
945,0.95,0.6,0.3637
946,0.95,0.7,0.3653
947,0.95,0.8,0.3694
948,0.95,0.9,0.3624
949,0.95,1.0,0.2881
950,0.96,0.1,0.5372
951,0.96,0.2,0.5434
952,0.96,0.3,0.6195
953,0.96,0.4,0.5373
954,0.96,0.5,0.3715
955,0.96,0.6,0.4564
956,0.96,0.7,0.4434
957,0.96,0.8,0.3572
958,0.96,0.9,0.3351
959,0.96,1.0,0.2758
960,0.97,0.1,0.544
961,0.97,0.2,0.6314
962,0.97,0.3,0.453
963,0.97,0.4,0.536
964,0.97,0.5,0.4439
965,0.97,0.6,0.3678
966,0.97,0.7,0.4458
967,0.97,0.8,0.3674
968,0.97,0.9,0.3484
969,0.97,1.0,0.2846
970,0.98,0.1,0.5481
971,0.98,0.2,0.5395
972,0.98,0.3,0.4605
973,0.98,0.4,0.5411
974,0.98,0.5,0.4474
975,0.98,0.6,0.4362
976,0.98,0.7,0.4408
977,0.98,0.8,0.3559
978,0.98,0.9,0.3195
979,0.98,1.0,0.2223
980,0.99,0.1,0.6333
981,0.99,0.2,0.5436
982,0.99,0.3,0.5212
983,0.99,0.4,0.5455
984,0.99,0.5,0.4493
985,0.99,0.6,0.4402
986,0.99,0.7,0.3499
987,0.99,0.8,0.3588
988,0.99,0.9,0.3494
989,0.99,1.0,0.3084
990,1.0,0.1,0.631
991,1.0,0.2,0.4579
992,1.0,0.3,0.5432
993,1.0,0.4,0.4512
994,1.0,0.5,0.4554
995,1.0,0.6,0.4541
996,1.0,0.7,0.4412
997,1.0,0.8,0.3599
998,1.0,0.9,0.3556
999,1.0,1.0,0.125
