,learning_rate,momentum,test_accuracy
186,0.19,0.7,0.6594
187,0.19,0.8,0.5701
188,0.19,0.9,0.4591
189,0.19,1.0,0.3648
190,0.2,0.1,0.9115
191,0.2,0.2,0.8319
192,0.2,0.3,0.8269
193,0.2,0.4,0.8253
194,0.2,0.5,0.7504
195,0.2,0.6,0.749
196,0.2,0.7,0.7473
197,0.2,0.8,0.5711
198,0.2,0.9,0.4526
199,0.2,1.0,0.3393
200,0.21,0.1,0.8321
201,0.21,0.2,0.8289
202,0.21,0.3,0.8266
203,0.21,0.4,0.8236
204,0.21,0.5,0.7538
205,0.21,0.6,0.7479
206,0.21,0.7,0.6576
207,0.21,0.8,0.461
208,0.21,0.9,0.4536
209,0.21,1.0,0.3755
210,0.22,0.1,0.8267
211,0.22,0.2,0.8257
212,0.22,0.3,0.8285
213,0.22,0.4,0.8157
214,0.22,0.5,0.7516
215,0.22,0.6,0.7507
216,0.22,0.7,0.6577
217,0.22,0.8,0.4595
218,0.22,0.9,0.4528
219,0.22,1.0,0.3502
220,0.23,0.1,0.9069
221,0.23,0.2,0.828
222,0.23,0.3,0.8246
223,0.23,0.4,0.8229
224,0.23,0.5,0.7503
225,0.23,0.6,0.6593
226,0.23,0.7,0.5689
227,0.23,0.8,0.4612
228,0.23,0.9,0.4567
229,0.23,1.0,0.3971
230,0.24,0.1,0.8271
231,0.24,0.2,0.8266
232,0.24,0.3,0.8297
233,0.24,0.4,0.8259
234,0.24,0.5,0.7503
235,0.24,0.6,0.6597
236,0.24,0.7,0.5699
237,0.24,0.8,0.3866
238,0.24,0.9,0.3859
239,0.24,1.0,0.3133
240,0.25,0.1,0.8243
241,0.25,0.2,0.8305
242,0.25,0.3,0.8277
243,0.25,0.4,0.7498
244,0.25,0.5,0.749
245,0.25,0.6,0.6592
246,0.25,0.7,0.5694
247,0.25,0.8,0.4552
248,0.25,0.9,0.4514
249,0.25,1.0,0.3768
250,0.26,0.1,0.8302
251,0.26,0.2,0.8248
252,0.26,0.3,0.8265
253,0.26,0.4,0.8209
254,0.26,0.5,0.7504
255,0.26,0.6,0.6607
256,0.26,0.7,0.455
257,0.26,0.8,0.458
258,0.26,0.9,0.4571
259,0.26,1.0,0.37
260,0.27,0.1,0.8267
261,0.27,0.2,0.8254
262,0.27,0.3,0.8228
263,0.27,0.4,0.7536
264,0.27,0.5,0.7508
265,0.27,0.6,0.6608
266,0.27,0.7,0.4626
267,0.27,0.8,0.4604
268,0.27,0.9,0.4559
269,0.27,1.0,0.3481
270,0.28,0.1,0.8233
271,0.28,0.2,0.8286
272,0.28,0.3,0.8251
273,0.28,0.4,0.7542
274,0.28,0.5,0.6601
275,0.28,0.6,0.6569
276,0.28,0.7,0.4597
277,0.28,0.8,0.3785
278,0.28,0.9,0.4563
